"Year","ANC","BIL","BLF","BMS","BPF","BSB","BUT","CLA","COD","DOG","DRM","DSH","FDE","FDF","FLA","FOU","GOO","HAD","HAL","HER","ISQ","LOB","LSK","LSQ","MAK","MEN","MPF","NSH","OHK","OPT","OSH","PLA","POL","PSH","QHG","RCB","RED","REP","RHK","SCU","SDF","SHK","SK","SMO","SSH","STB","SUF","TAU","TUN","TYL","WHK","WIF","WOL","WPF","WSK","WTF","YTF","SCA"
1983,4205342.17463889,NA,2679474.98909187,1602.98247767857,8451966.55615182,741305.213902513,33944438.5645927,NA,49064872.8681403,266015552.124413,21306890.9860603,3172674.98440875,4511451.48124858,24699857.0624409,472881.528711987,6603949.91102614,9270566.17710109,44812859.4247703,2014046.35133662,826789.870150773,772061.611316955,3028446.02474291,25425292.7952543,35069870.2213577,817638.945299306,15483.2476270833,18581.77288125,494893.469342834,114955.078515278,12895095.2841181,2700327.02734524,13490559.8904771,25077526.0514062,167424.422010417,NA,9146.41066666667,12176045.5961779,931172.04278125,22811543.1357121,12050859.6830072,86303.0985579861,18445881.8561503,12638192.5921526,6988964.19536141,915971.430472619,119064.115416667,2567006.12404049,36794.0569722222,0,NA,16887238.7575134,17453355.6695591,3070206.99345168,7919598.11119314,89233416.9059524,5896397.69801173,11911191.3876566,6412486.66223381
1984,5856727.81144444,NA,3461022.26393666,0,3513457.41081345,536939.891445982,24627365.4741935,NA,48602854.2978795,278989672.514633,23424337.4064379,4816240.10672164,9757145.16349257,26057620.7734137,79026.9346490801,4992464.82344754,8353355.90164896,36375076.1214088,394584.30867803,1389885.14425352,1571229.16290368,3775534.65765792,21557899.7906156,35558565.5170418,5875270.88235627,234897.064760417,3479.03022916667,1108400.49879827,49955.2715006944,10830444.0312835,3362803.01766708,6103146.54537791,21627698.4931556,31601.5634166667,NA,24691.7359833333,7494517.82281173,3676428.35,12201293.5765868,6453593.83054815,199028.197170734,11959950.3962101,11692680.0697012,10939146.7070734,1005430.8041875,70741.77,2035092.81371852,43337.2737175926,NA,1685.17852777778,15762610.0961373,11903151.2336827,1877126.27795815,9600066.64539678,82912174.3750679,4837332.92936624,4278002.56554275,7029727.12365456
1985,2326800.83105189,NA,3036007.79677044,5052.59206960227,2276001.19799995,434478.833269036,34075723.1229137,14150.9060119048,43950229.929969,623747665.538608,20090583.3336965,3963201.52375487,3875257.28186008,25416002.7709715,64939.2729055339,6044306.17190381,7616879.45000525,36424209.4197159,355132.123472696,3586082.89365324,1234078.47334097,7587803.26577368,28061214.8279768,27836270.0134914,7266875.59316628,8037.68909464286,45617.776044691,NA,219540.645036078,14093412.4492915,2229680.18262508,6495698.86636002,52076758.7842469,2261076.38025694,NA,94571.8616972222,24789078.6184891,2738808.54280754,15477123.8217079,16898517.9054166,86483.0965976506,24060151.6497319,15907581.7454843,16162156.9970406,333117.303943452,320149.893452381,2853005.74367174,33495.15625,0,24749.1562511905,18865126.5369389,10169012.8829047,3005499.10837998,6397961.16814613,99495316.8033869,5379789.08099509,2815186.72654993,12170244.5704955
1986,2186691.421862,NA,4637453.90706379,468.9321875,1837249.93467026,951623.890997239,19005058.3713537,15941.3124972222,29719498.0776305,261579795.265023,10454953.622428,1213910.39871429,6808378.55053189,25402418.6739187,107022.971615775,4101727.77594821,7681731.81974448,25532386.2258362,995020.176123444,10601828.4164473,860846.445155124,4737530.37009341,13913704.8653302,22330022.4384854,2751516.61196921,1287301.47607292,10750.7542173611,1529840.38629809,171748.019312698,11901739.5229536,3026834.37560523,4353686.29952749,16853056.8836704,1721368.82126687,NA,62017.5099526042,17691568.8781453,509840.938333333,11514951.628055,6046327.01225251,146788.109411706,25871203.0153969,12338545.1466096,7199629.53846217,62292.0585833333,168994.228333333,1892440.00094443,5631.65227083333,NA,67222.5455833333,22251466.3135836,5376165.65393678,2669419.33573371,3466648.1546312,80671049.7507059,2789325.96694726,2638348.58025747,8952490.48673028
1987,272208.4358125,NA,3209945.51748729,0,992176.648753542,778389.476071235,10031909.6906046,NA,21799208.4329405,432280450.93905,11657856.0110377,1617078.70683542,5465508.52198335,21447980.5265073,78435.2369011774,5170991.76626004,5219894.78791514,20672911.4504448,1019258.95802715,9889358.29924106,5059269.35677979,3973812.30739342,22670913.0587088,9261425.30220012,15429811.3229698,50142.24890625,933.398354166667,948332.727833333,315673.95400465,5283740.03758055,2572083.97526184,3862930.67903715,44431796.805177,341114.67125,NA,19002.9186458333,18388769.2330829,0,8593637.62523869,6213845.90069164,55693.8849704861,24318729.0305637,6745825.47819322,7041707.68873542,694879.346510417,25545.6391666667,1220110.05440144,11995.7319583333,NA,28342.5591472222,19236884.8295531,6871308.072483,1909707.72855696,3898042.48372893,77579758.3788041,1319562.28681166,1806339.78405976,11613826.5078511
1988,1774700.65971875,NA,1571268.74683735,0,4135314.54337812,730054.726131746,14156188.5483036,NA,28641208.6860542,444959701.528737,2799627.87785417,643966.709010417,4347514.59464686,25500639.5708674,78512.2567323935,4088109.98995278,6296419.2833836,13785721.1686242,124671.948909722,12677307.8635736,9447638.37281048,4407869.57255965,20013564.8941882,23401473.9597537,8915170.42497766,1073921.38068601,4756.3121875,1308728.52956032,55369.7262916667,6951278.10247257,2958384.76939849,4127527.73754086,25458971.8276815,322625.345,NA,60332.7514434524,14703951.8111017,373359.341666667,8291377.40056294,5394702.15502907,151367.65224127,13828008.9795259,7706291.25022774,4394058.85750792,3592660.79223661,34584.8653333333,1531099.01380568,NA,NA,5738.83677083333,16417386.2476152,5987960.19796147,1375600.50640625,3269981.55948949,71310390.0401814,1718532.89272101,1575106.88647694,14120829.3338623
1989,2911490.68354444,NA,3390430.60699573,4939.12130694445,2185718.49036231,332476.961623016,26434673.2430916,NA,20912730.3304019,275317618.219255,14923978.8968433,1208880.68098472,4596166.82087631,20854488.5732267,289632.769214464,4860454.43410833,5254623.15908662,12061148.2338595,306602.155454167,9863938.66489273,8805017.06386499,4534386.9939348,27897926.2293444,28420720.5907334,2235336.94768626,102793.891118452,11679.3888159722,2089635.46544907,117161.590541667,3792123.23480853,3281456.86486585,2967827.14187861,10254760.7401908,95751.4866666667,NA,112078.257523107,9481427.61738281,580404.0675,9974882.95850417,12594232.7463186,85548.7025721726,22360077.4135708,9481005.46321907,8217676.17805625,342722.43875,28913.018875,667598.938262417,1951.65110416667,NA,8034.37147916667,15050389.5775417,4140924.35039473,776822.492229861,3323548.69687253,47916721.5655264,1304419.1420021,4095016.13522407,8144358.66008562
1990,2037121.47060675,NA,2467314.6130717,0,792560.852163245,593349.700822818,19280478.4138129,0,26253779.4796617,555281632.33262,9964797.4577879,1001340.60964067,1802290.57377299,22679141.356031,191932.442910079,4587150.00151322,4809273.3488129,10426822.0011812,415037.811190625,6648051.84840863,5997554.38074883,4431244.62818093,19482660.7243983,21480631.534657,5785578.69535706,14804.8590625,21923.6962708333,1770238.11068495,148507.697566667,6635569.02506628,2705053.80686715,5992044.87396102,6321895.99896029,NA,NA,258298.992660317,18909351.2347551,644781.7578125,8530034.5007378,7175922.89679638,68343.9634145833,26607338.7117747,9287971.16782055,6744610.79935526,2734476.80033393,359304.774104167,788213.110265427,NA,0,NA,35524760.6088136,4193632.90438096,898379.119639116,2817327.48620145,49923892.6547349,922312.524330672,5993049.73292505,18288901.9092998
1991,1375797.91189583,16881.55875,1175994.81403252,NA,1013660.34077708,287510.777695685,13111005.7216777,NA,15800940.0704016,482668206.631643,11213179.4125069,838046.576364583,3225518.04286132,24311153.8925769,85023.2326875992,3648433.34552607,5995243.91453512,18212198.4934801,696345.211515129,23508931.8685583,1941717.25484383,4535709.90019485,30584925.57023,25741393.7326408,14292275.4521614,29955.8347395833,5779.03095833333,1138033.61922688,250648.968351852,5331342.85676388,201403.055143543,4052307.27037113,10241780.1194937,56343.3188333333,NA,158356.767494469,13371331.3290197,NA,8658012.19843604,10656021.249279,222455.226943287,18456584.1747408,9820614.03274333,4004904.50129315,1225468.46063095,574225.327677083,1084225.19255179,2675.14647916667,NA,13019.567234375,23604280.7146304,4446154.96781198,918754.122986806,1924852.87517463,38750652.6815086,1494303.4238067,3717069.61276887,13801602.6090312
1992,4362448.89758542,NA,1861070.26261141,3023.19836944444,443480.926366588,1036346.45911117,7931581.35353807,NA,20868412.1304519,735660309.221105,5315985.43289375,561155.198706845,3807169.18784986,32800997.5918104,229058.27613425,7090603.81622535,8186503.62605751,10926464.6584126,337118.956764423,28007593.6929483,2370661.76136773,4070689.85396455,79269181.6283827,13843539.1511378,22458635.4882777,97930.0116291667,70112.0610625,894529.024425139,77034.3933541667,21613133.3370281,289938.313832829,5463576.0729754,8705957.26040148,13987.57725,NA,36269.9109438244,27235407.8810796,NA,12853174.4188791,5509256.06351425,258915.500915562,24150490.2416882,13254308.2278804,6950221.22122024,1019960.25863194,848225.382180556,6050193.71105048,59657.1062916667,NA,8333.594875,22364256.3386476,6655635.8611545,629474.23256411,4831955.63160808,60375134.8131653,1538351.71399236,8276811.34051598,8643713.46477635
1993,281095.316535164,65404.6624365079,1570676.86489044,0,623365.141534137,1095368.15855885,17827130.2471994,1101.61847222222,14425612.0583927,655202892.901169,9828124.81983005,2143959.6086064,2676617.34436022,22270258.0592868,379376.885790575,8586562.89304958,9329281.42373814,8708217.24903604,152823.26312037,29977186.0160195,4701116.2620742,3765819.09353425,75752016.3593643,15473660.3177569,15230560.1264426,33661.2339725543,3510.292375,1411703.205911,61590.88868929,21944956.1424413,132049.514628609,6110631.36788526,3970079.85505191,114365.8615,550.809236111111,92253.5963606316,27387214.3623318,1306556.72489583,13988746.7229623,6002712.44692171,715042.812110708,18502162.2538335,15206655.8047743,5753590.05771346,526362.508737374,1659059.45153611,6394682.31884572,15670.8205020833,0,193599.025777778,20165644.7865159,3739887.74839402,1688418.68846627,3301871.55737972,29694953.0508216,2016596.33623701,2520177.42358755,9308375.91973365
1994,532779.612272222,NA,2672393.09998922,NA,184208.520650224,313629.338629787,26726700.875728,NA,12949372.0438094,575249321.955204,17265248.2955889,2336729.37926769,4618470.55292166,23838871.6569997,217112.503508606,6434396.57278634,6000847.91868588,14537848.0473332,82813.0183106061,14800840.1254743,2266725.15976172,4160454.64102528,48818425.5023033,26696827.0572615,9176301.3529565,68757.3680763889,501.980741666667,1864745.59613443,67479.5801928885,6607362.18043486,664851.810230203,6879571.92272621,2986218.15513844,88266.43575,3327.18552083333,24657.3330484897,10301547.9483514,1201433.64609101,10536723.0141164,3124427.46329857,741808.989216844,18638436.9153805,14320775.6103854,20394794.6580645,6464733.44681833,4303445.26938657,6146208.67597347,93319.9707429895,NA,NA,15247122.8023406,6407584.84702222,628584.887943653,5567355.13158156,18069562.1881018,1595564.11549022,4684031.59687036,11243483.0374736
